iso3,country_name,year,n_months_aeti,n_months_pcp,VETb_m3,irr_area_m2,AETI_wsum,ETb_wsum,landuse_source
,Chad,2020,12,12,1.9746097161675945E8,4.807712974445039E9,3.6346016752059863E11,1.9746097161675958E11,GMIE-100
,Malawi,2020,12,12,5.221160392217498E7,1.6057098024849935E9,1.4385137922634726E11,5.221160392217502E10,GMIE-100
,Zambia,2020,12,12,1.660515945236274E8,3.5923398450323544E9,3.558067109303576E11,1.660515945236274E11,GMIE-100
,Zimbabwe,2020,12,12,8.230714230170955E7,2.3617959895657744E9,2.014808486633531E11,8.230714230170946E10,GMIE-100
,Botswana,2020,12,12,1790688.0909313252,8.377248422590378E7,3.94123766700935E9,1.790688090931326E9,GMIE-100
,Namibia,2020,12,12,8292370.872128426,1.426887645243129E8,1.1371330680926794E10,8.292370872128429E9,GMIE-100
,Angola,2020,12,12,3.650547034474326E7,1.027866023641801E9,9.098341684521266E10,3.650547034474324E10,GMIE-100
,Burundi,2020,12,12,6987818.22752832,2.736454105774638E8,2.8077049817153168E10,6.987818227528305E9,GMIE-100
,Rwanda,2020,12,12,1987490.7114266166,1.372989656899724E8,1.350958332463287E10,1.9874907114266155E9,GMIE-100
,South Africa,2020,12,12,4.315313037671498E8,1.9164377701705204E10,1.4397427975670479E12,4.315313037671494E11,GMIE-100
,Lesotho,2020,12,12,174740.27306723976,1.9979884596225377E7,1.1189518182623644E9,1.7474027306723982E8,GMIE-100
,Swaziland,2020,12,12,1.5391143863775592E7,7.420721660288088E8,7.125842732881165E10,1.5391143863775595E10,GMIE-100
,Mayotte,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Niger,2020,12,12,3.1049556630170483E7,6.819462281609632E8,4.399934899893894E10,3.104955663017049E10,GMIE-100
,Sudan,2020,12,12,1.0985869634540431E9,1.8609211692270515E10,1.3924922831633132E12,1.0985869634540438E12,GMIE-100
,Libya,2020,12,12,1.9795517885276902E8,2.5820406782713413E10,2.8229049869304236E11,1.97955178852769E11,GMIE-100
,Koualou Area,2020,12,12,4082.300803519536,144659.97773025418,7895283.178973377,4082300.8035195353,GMIE-100
,Tunisia,2020,12,12,5.362267755555288E8,5.206259727524736E10,9.244365372172513E11,5.3622677555552905E11,GMIE-100
,Egypt,2020,12,12,4.103564396631437E9,5.5516228646361595E10,4.310192231895792E12,4.103564396631429E12,GMIE-100
,Bir Tawil,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Halaib Triangle,2020,12,12,879.6836613333653,31314.433539267426,879683.6613333652,879683.6613333652,GMIE-100
,Eritrea,2020,12,12,2.4197694738808714E7,6.089660572387983E8,3.9982701664310455E10,2.419769473880871E10,GMIE-100
,Ethiopia,2020,12,12,5.664359477020562E8,2.129259578545281E10,2.1441873420704226E12,5.664359477020563E11,GMIE-100
,Djibouti,2020,12,12,31338.794640722932,1986817.6382595683,4.7171415136296526E7,3.1338794640722938E7,GMIE-100
,Somalia,2020,12,12,2.7709074689601455E7,5.330962445152878E8,4.858757145120133E10,2.770907468960145E10,GMIE-100
,South Sudan,2020,12,12,2.1001492397849563E8,5.559999815868067E9,5.336006694331421E11,2.1001492397849588E11,GMIE-100
,Abyei Area,2020,12,12,49682.316176267384,1155997.0057414295,9.319308581246647E7,4.9682316176267385E7,GMIE-100
,Kenya,2020,12,12,9.92638202636544E7,1.1484326311830145E10,1.193786482591256E12,9.926382026365422E10,GMIE-100
,Uganda,2020,12,12,4.691510236904867E7,4.583029329644393E9,4.9964715100834326E11,4.691510236904873E10,GMIE-100
,Tanzania,2020,12,12,2.745865363157967E8,9.877567313915802E9,9.372954143936587E11,2.7458653631579642E11,GMIE-100
,Mozambique,2020,12,12,6.305599548778427E7,2.6557052811914935E9,2.1658603105163953E11,6.305599548778427E10,GMIE-100
,Comoros,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Madagascar,2020,12,12,2.511092662913172E8,9.958240427013186E9,7.226969515947819E11,2.5110926629131714E11,GMIE-100
,Cabo Verde,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Western Sahara,2020,12,12,495434.6999378303,2.060286615506187E8,5.141380828841154E8,4.9543469993783015E8,GMIE-100
,Mauritania,2020,12,12,1.5631280660733731E7,3.7052972157785743E8,2.0327616346381565E10,1.563128066073374E10,GMIE-100
,Morocco,2020,12,12,1.0205651141203176E9,4.671925150677697E10,1.969119893169023E12,1.0205651141203174E12,GMIE-100
,Spain (Canary Is),2020,12,12,673269.5923862692,1.6501903875064346E8,6.81318428208039E8,6.732695923862681E8,GMIE-100
,Portugal (Madeira Is),2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Spain (Africa),2020,12,12,176032.4799728605,9861053.901628293,3.4363656829766774E8,1.7603247997286054E8,GMIE-100
,Algeria,2020,12,12,1.0597593903562888E9,4.21626488767803E10,1.7219247423594155E12,1.0597593903562883E12,GMIE-100
,Mali,2020,12,12,3.383812902711215E8,4.903490065465529E9,4.722631973546028E11,3.383812902711235E11,GMIE-100
,Burkina Faso,2020,12,12,4.082207252539638E7,1.0241077841856626E9,7.911955518761273E10,4.08220725253964E10,GMIE-100
,Togo,2020,12,12,6898215.749288239,2.3523017867213464E8,1.9376790139821297E10,6.898215749288231E9,GMIE-100
,Ghana,2020,12,12,1.4598755995298441E7,5.666716448786129E8,5.052935655608148E10,1.4598755995298454E10,GMIE-100
,Cote d'Ivoire,2020,12,12,4.025923079738753E7,1.3311685452832766E9,1.3463921886952444E11,4.0259230797387535E10,GMIE-100
,Guinea,2020,12,12,1.0241740205572264E7,2.747306793564966E8,2.292699413710691E10,1.0241740205572273E10,GMIE-100
,Senegal,2020,12,12,7.064679263016057E7,1.3314475644391108E9,1.0632931394460504E11,7.064679263016068E10,GMIE-100
,"Gambia, The",2020,12,12,2.503062300134761E7,4.0308904396337897E8,3.857441749958235E10,2.503062300134764E10,GMIE-100
,Guinea-Bissau,2020,12,12,1.5722546615553724E7,2.7689994715998036E8,2.424313062390179E10,1.5722546615553734E10,GMIE-100
,Sierra Leone,2020,12,12,4510588.3666072115,1.769895955547636E8,1.3183102862115664E10,4.510588366607212E9,GMIE-100
,Liberia,2020,12,12,92913.69258329763,5514965.832860736,3.988244835693316E8,9.291369258329767E7,GMIE-100
,Benin,2020,12,12,2.2574185558637917E7,5.429116450943749E8,4.875596345281548E10,2.257418555863791E10,GMIE-100
,Nigeria,2020,12,12,1.0439765870413767E8,2.9017415738300433E9,2.4367107468641913E11,1.0439765870413763E11,GMIE-100
,Cameroon,2020,12,12,9.40294965679194E7,1.9637542288030438E9,1.8005784296399005E11,9.402949656791968E10,GMIE-100
,Equatorial Guinea,2020,12,12,5297.705123606836,1172181.481030865,1.0512319859960864E8,5297705.123606836,GMIE-100
,Sao Tome & Principe,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Gabon,2020,12,12,47005.00726119674,3861051.799365259,3.238306375602769E8,4.700500726119677E7,GMIE-100
,Rep of the Congo,2020,12,12,1128292.7754213254,1.129721825478978E8,9.123159787698328E9,1.128292775421326E9,GMIE-100
,Central African Rep,2020,12,12,1.283260767920193E7,4.0429748898075974E8,4.752027948623047E10,1.2832607679201933E10,GMIE-100
,Dem Rep of the Congo,2020,12,12,5.86637153202154E7,2.5222957604976807E9,2.6759710886958755E11,5.866371532021544E10,GMIE-100
,Hong Kong,2020,12,12,164847.233214964,1.603439457181936E7,1.1719964075496168E9,1.6484723321496418E8,GMIE-100
,Macau,2020,12,12,10.307086555675484,3817.439465064994,105743.07318230032,10307.086555675485,GMIE-100
,Taiwan,2020,12,12,5.888188475527072E7,4.416079823739265E9,2.943287719972275E11,5.888188475527078E10,GMIE-100
,Senkakus,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Japan,2020,12,12,5532293.251047509,1.563306102578455E10,6.403262070825732E11,5.532293251047533E9,GMIE-100
,"Korea, South",2020,12,12,1.9244392094336767E7,6.962981092275055E9,3.3835815298341925E11,1.924439209433679E10,GMIE-100
,"Korea, North",2020,12,12,1.6182130577744994E7,1.3597587715471504E10,5.0465263428037225E11,1.618213057774507E10,GMIE-100
,Korean Is. (UN Jurisdiction),2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,China,2020,12,12,2.608671823799359E9,2.903164856416442E11,1.415794866397909E13,2.608671823799361E12,GMIE-100
,China,2020,12,12,3.7150331276905856E9,1.2426433594379991E11,4.9737041301736875E12,3.7150331276905864E12,GMIE-100
,China,2020,12,12,8.993413285612984E8,8.782979732456566E10,5.362808611032444E12,8.993413285612986E11,GMIE-100
,China,2020,12,12,2.1836270398107877E9,6.107673681326124E11,3.401923303312536E13,2.1836270398107898E12,GMIE-100
,Liancourt Rocks,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Russia,2020,12,12,4.852684940875986E8,3.2530983747249664E10,9.768861005433025E11,4.852684940875984E11,GMIE-100
,Ukraine,2020,12,12,1.7593595083740747E8,2.610533903132416E10,8.191401382948278E11,1.7593595083740768E11,GMIE-100
,Romania,2020,12,12,1.494962655731272E7,3.0778007749723725E9,1.2384779782797606E11,1.4949626557312737E10,GMIE-100
,Moldova,2020,12,12,6972767.852811376,1.5580384247467031E9,3.807358010097281E10,6.972767852811356E9,GMIE-100
,Russia,2020,12,12,78840.5425645207,2506243.928400651,7.88405425645207E7,7.88405425645207E7,GMIE-100
,Finland,2020,12,12,2.4184560751488292E8,7.848562988439699E9,2.418456075148828E11,2.418456075148828E11,GMIE-100
,Norway,2020,12,12,7.606296142292659E7,2.362717727270063E9,7.60629614229266E10,7.60629614229266E10,GMIE-100
,Andorra,2020,12,12,0.0,30357.613544007887,1180403.031078803,0.0,GMIE-100
,Italy,2020,12,12,1.9260469535205415E8,3.4157205883374634E10,2.097410273498213E12,1.9260469535205432E11,GMIE-100
,Monaco,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Malta,2020,12,12,1716.6469839503898,274693.3605784732,6093554.676875472,1716646.98395039,GMIE-100
,San Marino,2020,12,12,9944.905595585065,1509746.336275796,8.578361192357083E7,9944905.595585063,GMIE-100
,Vatican City,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Croatia,2020,12,12,5975900.447641079,3.4475603634185658E9,2.1296062118478693E11,5.975900447641079E9,GMIE-100
,Albania,2020,12,12,1.3032516878288433E7,1.5466179145881488E9,9.809284926151976E10,1.3032516878288456E10,GMIE-100
,Bosnia & Herzegovina,2020,12,12,2687542.953033683,2.8773538824217286E9,1.7031490890843182E11,2.687542953033684E9,GMIE-100
,Montenegro,2020,12,12,2451488.0798798073,3.0892719988519E8,1.881785404581924E10,2.451488079879815E9,GMIE-100
,Serbia,2020,12,12,6822725.800677208,3.3187928690986238E9,1.9285695457295612E11,6.822725800677185E9,GMIE-100
,Greece,2020,12,12,2.660954178020925E8,1.20091483992316E10,7.995310956718274E11,2.6609541780209262E11,GMIE-100
,Macedonia,2020,12,12,6825169.844496973,8.329500056644709E8,5.173272539568071E10,6.825169844496977E9,GMIE-100
,Kosovo,2020,12,12,1350478.2615462777,8.476500917958604E8,5.217494772377665E10,1.350478261546278E9,GMIE-100
,Bulgaria,2020,12,12,3.5271045916139305E7,5.323883994559639E9,2.3309516473453418E11,3.5271045916139275E10,GMIE-100
,Portugal (Azores),2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Portugal,2020,12,12,9.346023776201452E7,3.5470154393554173E9,2.0685106341626724E11,9.346023776201453E10,GMIE-100
,Gibraltar,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Spain,2020,12,12,5.260548625647544E8,2.6177793606227955E10,1.489699391181418E12,5.2605486256475464E11,GMIE-100
,France,2020,12,12,1.4101537587952223E8,1.4660544838139908E10,7.093950359585962E11,1.4101537587952213E11,GMIE-100
,Svalbard,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Sweden,2020,12,12,3.4098778627794456E8,9.67078350273017E9,3.4098778627794446E11,3.4098778627794446E11,GMIE-100
,Denmark,2020,12,12,1.5062170557700884E8,4.376748265802149E9,1.5062170557700867E11,1.5062170557700867E11,GMIE-100
,Estonia,2020,12,12,1.2152309224276344E8,3.5242509134581084E9,1.2152309224276329E11,1.2152309224276329E11,GMIE-100
,Latvia,2020,12,12,2.8435743345914406E8,7.655246175581391E9,2.8435743345914355E11,2.8435743345914355E11,GMIE-100
,Lithuania,2020,12,12,4.5919529811992514E8,1.1610428491495804E10,4.591952981199261E11,4.591952981199261E11,GMIE-100
,Belarus,2020,12,12,8.780542463920617E7,2.299498134613624E9,8.780542463920627E10,8.780542463920627E10,GMIE-100
,Poland,2020,12,12,2.646817489637318E8,6.485750527271028E9,2.7170799488927145E11,2.6468174896373203E11,GMIE-100
,Germany,2020,12,12,4.2740942296231014E8,1.5401671085393087E10,6.846439732994559E11,4.274094229623102E11,GMIE-100
,Czechia,2020,12,12,1.142768664586545E8,8.292324904714938E9,3.6903957593524615E11,1.1427686645865434E11,GMIE-100
,Slovakia,2020,12,12,1.5226354108699124E7,4.098844472217338E9,1.9292571497774838E11,1.5226354108699133E10,GMIE-100
,Hungary,2020,12,12,1.156056037073164E7,2.0762843096192899E9,1.109303394098204E11,1.156056037073163E10,GMIE-100
,Slovenia,2020,12,12,52561.38688015238,1.087042383665516E9,6.1710335215678154E10,5.2561386880152516E7,GMIE-100
,Austria,2020,12,12,7893272.970292029,4.41052740158199E9,2.1797862579557697E11,7.893272970292042E9,GMIE-100
,Dragonja River Mouth,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Switzerland,2020,12,12,174492.4077202506,2.1877152146355596E9,1.0725655588689944E11,1.7449240772025064E8,GMIE-100
,Liechtenstein,2020,12,12,0.0,2.18175102126562E7,1.0548481972402036E9,0.0,GMIE-100
,Luxembourg,2020,12,12,439874.60068231606,5.2857218696496E7,2.185221225908023E9,4.3987460068231475E8,GMIE-100
,Netherlands,2020,12,12,6.6517023072032556E7,1.8989781156546214E9,6.6517023072032715E10,6.6517023072032715E10,GMIE-100
,Belgium,2020,12,12,4.312280981703226E7,1.1029304288897955E9,4.3741955588405136E10,4.312280981703232E10,GMIE-100
,United Kingdom,2020,12,12,3.373080835890676E7,1.0725977479607294E9,3.373101748104879E10,3.3730808358906765E10,GMIE-100
,Jersey,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Guernsey,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Ireland,2020,12,12,1.6459953026626348E7,4.7241081823279446E8,1.6459953026626373E10,1.6459953026626373E10,GMIE-100
,Isle of Man,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Faroe Is,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Iceland,2020,12,12,317163.88325597625,2.1867907275869727E7,3.171638832559762E8,3.171638832559762E8,GMIE-100
,Jan Mayen,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Russia,2020,12,12,6.782630096236973E8,2.920890563855178E10,6.784001424988165E11,6.782630096236978E11,GMIE-100
,Russia,2020,12,12,768.9905744804638,24490.323234173273,768990.5744804638,768990.5744804638,GMIE-100
,Mongolia,2020,12,12,1168587.6260610668,9.916286661895934E8,1.5321451382606197E10,1.1685876260610662E9,GMIE-100
,Russia,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Russia,2020,12,12,8.451500981909668E7,9.873983185520094E9,3.4654067555966705E11,8.451500981909668E10,GMIE-100
,Maldives,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Bhutan,2020,12,12,751135.6702731099,7.97864293037233E7,3.6296708845671005E9,7.511356702731102E8,GMIE-100
,Aksai Chin,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Afghanistan,2020,12,12,7.283472709167402E8,3.0651249446591892E10,1.1049922742850881E12,7.283472709167408E11,GMIE-100
,Pakistan,2020,12,12,7.261715768298596E9,1.879325087649566E11,1.3473057733940113E13,7.261715768298602E12,GMIE-100
,Siachen-Saltoro Area,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Demchok Area,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,IN-CH Small Disputed Areas,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Nepal,2020,12,12,2.4477196087040973E8,1.8724295813174805E10,1.620740837060384E12,2.4477196087041022E11,GMIE-100
,Kalapani Area,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Dramana-Shakatoe Area,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Sri Lanka,2020,12,12,3.2073486998184323E8,1.488258585705812E10,1.3240199529869014E12,3.2073486998184314E11,GMIE-100
,India,2020,12,12,3.196245389414865E10,9.12195905424298E11,7.286350062812319E13,3.1962453894148652E13,GMIE-100
,Bangladesh,2020,12,12,7.982267376995933E8,5.0296131720970116E10,4.760990552623624E12,7.98226737699592E11,GMIE-100
,Pitcairn Is,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Palau,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Nauru,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Tuvalu,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Tokelau,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,US Minor Pacific Is. Refuges,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Cook Is,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,American Samoa,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Tonga,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Niue,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Samoa,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Wallis & Futuna,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,French Polynesia,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,United States (Hawaii),2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Northern Mariana Is,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Marshall Is,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Wake I,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Kiribati,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Fed States of Micronesia,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Guam,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Papua New Guinea,2020,12,12,395925.05862581806,3.843248770003303E8,3.9556162732236244E10,3.9592505862581795E8,GMIE-100
,Solomon Is,2020,12,12,7586.578778804203,7.824227173055305E7,9.762855241019564E9,7586578.778804202,GMIE-100
,New Caledonia,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Norfolk I,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,New Zealand,2020,12,12,816224.4706573347,7.968720429080576E8,4.30913799299816E10,8.162244706573352E8,GMIE-100
,Fiji,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Vanuatu,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Indonesia,2020,12,12,3.2370111336082373E7,2.6388299288404526E10,2.6941452388844E12,3.2370111336082386E10,GMIE-100
,Paracel Is,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Singapore,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Brunei,2020,12,12,58087.52772559122,2.581779697677185E8,2.6054215696286694E10,5.808752772559121E7,GMIE-100
,Philippines,2020,12,12,1.0587827794836265E8,1.4949458064624596E10,1.4667678838511682E12,1.058782779483626E11,GMIE-100
,Spratly Is,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Timor-Leste,2020,12,12,909040.6374248933,3.761230052375926E7,3.620395473730888E9,9.090406374248934E8,GMIE-100
,Ashmore & Cartier Is,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Malaysia,2020,12,12,3623216.86902503,7.11381106590317E9,7.554399901067101E11,3.623216869025018E9,GMIE-100
,Thailand,2020,12,12,1.912968538147707E9,6.345284694834264E10,5.446564219564248E12,1.9129685381477065E12,GMIE-100
,Burma,2020,12,12,1.1065866556011379E9,3.5479217645423355E10,2.5781513273895713E12,1.1065866556011345E12,GMIE-100
,Laos,2020,12,12,6.118544939020136E7,2.3491748145686135E9,2.0243307304446042E11,6.118544939020138E10,GMIE-100
,Cambodia,2020,12,12,1.5789959346206143E8,7.05027188849071E9,5.991029666435317E11,1.578995934620619E11,GMIE-100
,Vietnam,2020,12,12,4.491699313147067E8,3.047498144402052E10,2.474414702980485E12,4.4916993131470764E11,GMIE-100
,Oman,2020,12,12,4.7736950596134156E7,2.209054665984426E9,5.856435886405714E10,4.773695059613408E10,GMIE-100
,United Arab Emirates,2020,12,12,3.0669458207592983E7,3.2185725096821313E9,3.618352445991712E10,3.066945820759296E10,GMIE-100
,Qatar,2020,12,12,5493621.739353395,3.445156478669566E8,5.751246303576838E9,5.493621739353389E9,GMIE-100
,Bahrain,2020,12,12,814003.0201760385,7.078173272307849E7,8.165989378892534E8,8.140030201760378E8,GMIE-100
,Iran,2020,12,12,3.080144212070673E9,9.736888125433798E10,4.3537938574696104E12,3.080144212070672E12,GMIE-100
,Kuwait,2020,12,12,9600872.692736538,5.462790833993443E8,1.0697115010969448E10,9.600872692736538E9,GMIE-100
,Azerbaijan,2020,12,12,3.8669564651137555E8,2.529911680258757E10,1.245798999391211E12,3.8669564651137396E11,GMIE-100
,Armenia,2020,12,12,4596540.0604408095,7.59264094820157E8,3.379256759100672E10,4.596540060440821E9,GMIE-100
,Georgia,2020,12,12,5645867.995228923,2.7940488558570786E9,1.4038368458541232E11,5.645867995228924E9,GMIE-100
,Sinafir & Tiran Is.,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Turkey,2020,12,12,1.6212775039284122E9,5.077891214571032E10,3.1097036212025986E12,1.621277503928411E12,GMIE-100
,Cyprus,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Dhekelia,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Akrotiri,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Gaza Strip,2020,12,12,1187859.6314861337,5.487474899498959E7,1.9603717811898987E9,1.187859631486136E9,GMIE-100
,Israel,2020,12,12,1.5255386667881596E8,3.85773975586899E9,2.1428571475761972E11,1.5255386667881583E11,GMIE-100
,Jordan,2020,12,12,7.701654859096515E7,2.13494714635074E9,9.48103294334657E10,7.70165485909648E10,GMIE-100
,Saudi Arabia,2020,12,12,8.455139286446782E8,3.737190501295182E10,9.938645875071206E11,8.455139286446791E11,GMIE-100
,West Bank,2020,12,12,6.842991299971603E7,1.7559470187680597E9,8.915272534775974E10,6.842991299971627E10,GMIE-100
,No Man's Land,2020,12,12,1979328.6748099437,4.095723750079208E7,2.6287686477058377E9,1.9793286748099458E9,GMIE-100
,West Bank,2020,12,12,584.5114555810554,25481.901127812427,799057.3334561656,584511.4555810555,GMIE-100
,Iraq,2020,12,12,2.429155934378035E9,6.1460606579938095E10,3.157362958630805E12,2.429155934378037E12,GMIE-100
,Syria,2020,12,12,3.822503431790147E8,1.1762588831233826E10,5.796310010574415E11,3.822503431790156E11,GMIE-100
,Lebanon,2020,12,12,2.7008840722301584E7,6.347809697224762E8,3.811606750513945E10,2.7008840722301598E10,GMIE-100
,Syria,2020,12,12,2623320.773513389,6.808957186012954E7,3.5903903676710935E9,2.6233207735133915E9,GMIE-100
,Syria,2020,12,12,3.742858259735912E7,8.319659602909483E8,5.082407789890657E10,3.742858259735918E10,GMIE-100
,Israel,2020,12,12,328495.28220144444,6241534.179203168,3.7689469316248393E8,3.284952822014444E8,GMIE-100
,Syria,2020,12,12,1656015.7280262765,3.2866728735433467E7,2.0807258175884411E9,1.6560157280262756E9,GMIE-100
,Syria,2020,12,12,77561.55452270037,1634118.8617880358,9.813252056717597E7,7.756155452270038E7,GMIE-100
,Yemen,2020,12,12,7.904649565459266E8,3.495421073750802E10,1.271082977050208E12,7.904649565459275E11,GMIE-100
,Australia,2020,12,12,2.6746577672285387E8,3.937978022942435E10,1.47619671215715E12,2.6746577672285385E11,GMIE-100
,Coral Sea Is,2020,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Cuba,2020,12,12,1.012409423030059E8,8.19218019007465E9,7.409609034129724E11,1.0124094230300584E11,GMIE-100
,Puerto Rico,2020,12,12,1146911.414582575,4.7561305393849874E8,4.2133798021589325E10,1.1469114145825748E9,GMIE-100
,US Virgin Is,2020,12,12,208809.16337630936,1.8663917941800416E7,1.2631982739544742E9,2.088091633763093E8,GMIE-100
,British Virgin Is,2020,12,12,26282.834388230174,7865615.833102276,8.904526483570081E7,2.628283438823018E7,GMIE-100
,Antigua & Barbuda,2020,12,12,383058.4051901583,3.690982022236308E7,3.1317532287661014E9,3.83058405190158E8,GMIE-100
,St Barthelemy,2020,12,12,22641.55623310037,1503883.7137018126,9.71016864321313E7,2.2641556233100362E7,GMIE-100
,Netherlands (Caribbean),2020,12,12,0.0,479641.31184820447,0.0,0.0,GMIE-100
,Anguilla,2020,12,12,1196.4642569628757,568518.0780760853,3.076282175389561E7,1196464.2569628756,GMIE-100
,St Martin,2020,12,12,17173.939954497677,2081145.7936339837,1.688587075813929E8,1.7173939954497676E7,GMIE-100
,Sint Maarten,2020,12,12,1502.3674161583835,233368.245197949,1.94683996683314E7,1502367.4161583837,GMIE-100
,St Kitts & Nevis,2020,12,12,366890.71637174394,1.424533517083635E7,1.2758843529166656E9,3.668907163717436E8,GMIE-100
