iso3,country_name,year,n_months_aeti,n_months_pcp,VETb_m3,irr_area_m2,AETI_wsum,ETb_wsum,landuse_source
,Chad,2022,12,12,1.8799320335920012E8,4.807712974445038E9,3.371472878103029E11,1.879932033592001E11,GMIE-100
,Malawi,2022,12,12,5.5123575165421955E7,1.6057098024849932E9,1.3421404101086896E11,5.5123575165422035E10,GMIE-100
,Zambia,2022,12,12,1.722335301418153E8,3.592339845032356E9,3.5095077922121155E11,1.722335301418154E11,GMIE-100
,Zimbabwe,2022,12,12,1.0182810349595557E8,2.361795989565775E9,2.1977668899251395E11,1.0182810349595566E11,GMIE-100
,Botswana,2022,12,12,2586924.294542121,8.377248422590378E7,5.277983774062298E9,2.586924294542122E9,GMIE-100
,Namibia,2022,12,12,8321436.052684687,1.4268876452431288E8,1.192633535310039E10,8.321436052684696E9,GMIE-100
,Angola,2022,12,12,3.4157521031019546E7,1.0278660236418008E9,8.703131172518793E10,3.415752103101954E10,GMIE-100
,Burundi,2022,12,12,6342083.688321407,2.736454105774638E8,2.756854292971112E10,6.342083688321413E9,GMIE-100
,Rwanda,2022,12,12,1758838.2558843193,1.372989656899724E8,1.3778554483815092E10,1.7588382558843195E9,GMIE-100
,South Africa,2022,12,12,3.332130421733632E8,1.9164377701705204E10,1.4740774927806628E12,3.3321304217336316E11,GMIE-100
,Lesotho,2022,12,12,121728.67009489122,1.997988459622538E7,1.1793771588844507E9,1.2172867009489122E8,GMIE-100
,Swaziland,2022,12,12,1.2433836099501977E7,7.420721660288088E8,7.823970368454677E10,1.2433836099501966E10,GMIE-100
,Mayotte,2022,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Niger,2022,12,12,3.0466590029590007E7,6.81946228160963E8,4.29002241008292E10,3.0466590029590027E10,GMIE-100
,Sudan,2022,12,12,9.938613318386627E8,1.860921169227051E10,1.3441185533649673E12,9.938613318386619E11,GMIE-100
,Libya,2022,12,12,2.134682725560143E8,2.5820406782713398E10,2.8881871609266266E11,2.1346827255601447E11,GMIE-100
,Koualou Area,2022,12,12,4846.184729463036,144659.97773025418,9942759.197179906,4846184.729463037,GMIE-100
,Tunisia,2022,12,12,5.302765068337667E8,5.206259727524737E10,8.321197609872405E11,5.302765068337665E11,GMIE-100
,Egypt,2022,12,12,4.1574355784488745E9,5.551622864636161E10,4.305972460769788E12,4.157435578448862E12,GMIE-100
,Bir Tawil,2022,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Halaib Triangle,2022,12,12,853.7112628916561,31314.433539267426,853711.262891656,853711.262891656,GMIE-100
,Eritrea,2022,12,12,2.3010961016158674E7,6.089660572387984E8,3.7211428273006256E10,2.3010961016158688E10,GMIE-100
,Ethiopia,2022,12,12,5.441348390445222E8,2.1292595785452816E10,2.0496699072919658E12,5.441348390445222E11,GMIE-100
,Djibouti,2022,12,12,35604.27338364818,1986817.6382595683,4.828800848718675E7,3.560427338364819E7,GMIE-100
,Somalia,2022,12,12,1.7962784511936285E7,5.3309624451528776E8,3.259093670737671E10,1.7962784511936287E10,GMIE-100
,South Sudan,2022,12,12,2.0512215472890362E8,5.559999815868065E9,5.4317276622821985E11,2.0512215472890347E11,GMIE-100
,Abyei Area,2022,12,12,53825.538258336404,1155997.0057414295,1.0671401388767593E8,5.3825538258336395E7,GMIE-100
,Kenya,2022,12,12,1.1508730201022013E8,1.1484326311830145E10,1.1608203074825273E12,1.1508730201022021E11,GMIE-100
,Uganda,2022,12,12,3.3958281999632865E7,4.583029329644393E9,5.032940742268944E11,3.3958281999632862E10,GMIE-100
,Tanzania,2022,12,12,2.883530612888276E8,9.877567313915802E9,8.75051727056998E11,2.8835306128882715E11,GMIE-100
,Mozambique,2022,12,12,6.1716384845932476E7,2.6557052811914935E9,2.1962061253222644E11,6.171638484593249E10,GMIE-100
,Comoros,2022,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Madagascar,2022,12,12,2.446875613232385E8,9.958240427013187E9,7.051262561720626E11,2.446875613232387E11,GMIE-100
,Cabo Verde,2022,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Western Sahara,2022,12,12,451487.9165964652,2.0602866155061868E8,4.867355712453774E8,4.514879165964651E8,GMIE-100
,Mauritania,2022,12,12,1.5765806230950227E7,3.705297215778574E8,1.925983437714837E10,1.5765806230950214E10,GMIE-100
,Morocco,2022,12,12,9.772753464434823E8,4.671925150677698E10,1.7706652668393965E12,9.772753464434822E11,GMIE-100
,Spain (Canary Is),2022,12,12,614551.5704582107,1.6501903875064346E8,6.717891010136796E8,6.145515704582112E8,GMIE-100
,Portugal (Madeira Is),2022,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Spain (Africa),2022,12,12,213132.73877306998,9861053.901628293,3.181832754382489E8,2.1313273877307E8,GMIE-100
,Algeria,2022,12,12,7.772769988059444E8,4.2162648876780304E10,1.6775095973317727E12,7.772769988059437E11,GMIE-100
,Mali,2022,12,12,3.3359620388835603E8,4.9034900654655285E9,4.707234478821231E11,3.335962038883553E11,GMIE-100
,Burkina Faso,2022,12,12,3.984072179087316E7,1.0241077841856624E9,8.482027097724364E10,3.984072179087312E10,GMIE-100
,Togo,2022,12,12,5559746.977068766,2.3523017867213464E8,2.085251455692833E10,5.559746977068763E9,GMIE-100
,Ghana,2022,12,12,1.0072711320357729E7,5.666716448786128E8,5.46854382023656E10,1.0072711320357729E10,GMIE-100
,Cote d'Ivoire,2022,12,12,4.114017942436773E7,1.3311685452832763E9,1.3709032788089787E11,4.114017942436773E10,GMIE-100
,Guinea,2022,12,12,1.073021580068876E7,2.7473067935649663E8,2.364636789677385E10,1.0730215800688755E10,GMIE-100
,Senegal,2022,12,12,6.57063403052316E7,1.3314475644391105E9,1.0797340374347328E11,6.57063403052317E10,GMIE-100
,"Gambia, The",2022,12,12,2.3379914433281373E7,4.030890439633789E8,3.981568270410982E10,2.337991443328144E10,GMIE-100
,Guinea-Bissau,2022,12,12,1.5458798830050053E7,2.7689994715998036E8,2.5788262733634735E10,1.545879883005003E10,GMIE-100
,Sierra Leone,2022,12,12,5280556.05016232,1.7698959555476356E8,1.3908939157982828E10,5.280556050162325E9,GMIE-100
,Liberia,2022,12,12,93444.77026797783,5514965.832860737,4.038512608903329E8,9.344477026797783E7,GMIE-100
,Benin,2022,12,12,2.3694506327015437E7,5.429116450943749E8,5.4315062640849434E10,2.369450632701544E10,GMIE-100
,Nigeria,2022,12,12,1.0430794438709836E8,2.9017415738300433E9,2.4997996902418234E11,1.0430794438709828E11,GMIE-100
,Cameroon,2022,12,12,9.313908819209151E7,1.9637542288030434E9,1.688241839928299E11,9.313908819209145E10,GMIE-100
,Equatorial Guinea,2022,12,12,5844.656624961141,1172181.481030865,1.0758441319400875E8,5844656.62496114,GMIE-100
,Sao Tome & Principe,2022,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Gabon,2022,12,12,53923.13268457791,3861051.7993652583,3.287129405628526E8,5.392313268457791E7,GMIE-100
,Rep of the Congo,2022,12,12,1487815.8489889929,1.1297218254789782E8,8.974127767269003E9,1.4878158489889934E9,GMIE-100
,Central African Rep,2022,12,12,1.6678378640253166E7,4.042974889807598E8,5.2004559861812256E10,1.667837864025317E10,GMIE-100
,Dem Rep of the Congo,2022,12,12,5.5426829689752385E7,2.52229576049768E9,2.6475207510689786E11,5.542682968975239E10,GMIE-100
,Hong Kong,2022,12,12,77187.81680299967,1.603439457181936E7,1.0217486253446064E9,7.718781680299965E7,GMIE-100
,Macau,2022,12,12,4.199183411571494,3817.439465064994,46191.01752728643,4199.183411571494,GMIE-100
,Taiwan,2022,12,12,5.124626398475109E7,4.416079823739265E9,2.5414285989815024E11,5.124626398475105E10,GMIE-100
,Senkakus,2022,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Japan,2022,12,12,1034338.7435918851,1.5633061025784548E10,6.67779566876719E11,1.0343387435918852E9,GMIE-100
,"Korea, South",2022,12,12,3.872557284562792E7,6.962981092275055E9,3.823709969753859E11,3.8725572845627884E10,GMIE-100
,"Korea, North",2022,12,12,1.5088901027479418E7,1.3597587715471504E10,5.4751701624686316E11,1.5088901027479408E10,GMIE-100
,Korean Is. (UN Jurisdiction),2022,12,12,0.0,0.0,0.0,0.0,GMIE-100
,China,2022,12,12,3.7566262064689174E9,2.903164856416442E11,1.5320431628800871E13,3.7566262064689194E12,GMIE-100
,China,2022,12,12,4.43062195405513E9,1.2426433594379991E11,5.420066492566552E12,4.430621954055138E12,GMIE-100
,China,2022,12,12,7.5025366052033E8,8.782979732456566E10,5.496145023220682E12,7.502536605203314E11,GMIE-100
,China,2022,12,12,4.1347871132796555E9,6.107673681326124E11,3.721684089739486E13,4.134787113279659E12,GMIE-100
,Liancourt Rocks,2022,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Russia,2022,12,12,4.805318052937718E8,3.253098374724965E10,1.0422579661285715E12,4.8053180529377136E11,GMIE-100
