iso3,country_name,year,n_months_aeti,n_months_pcp,VETb_m3,irr_area_m2,AETI_wsum,ETb_wsum,landuse_source
,Chad,2024,12,12,1.9276077486419746E8,4.807712974445039E9,3.668986199442419E11,1.9276077486419714E11,GMIE-100
,Malawi,2024,12,12,4.148052189201863E7,1.6057098024849937E9,1.5210601667877002E11,4.148052189201863E10,GMIE-100
,Zambia,2024,12,12,1.4862428853161973E8,3.5923398450323553E9,3.697664001268025E11,1.4862428853161978E11,GMIE-100
,Zimbabwe,2024,12,12,1.1242571862090649E8,2.3617959895657744E9,2.3092722538316827E11,1.1242571862090651E11,GMIE-100
,Botswana,2024,12,12,2556359.4584333473,8.37724842259038E7,4.017614469935942E9,2.5563594584333487E9,GMIE-100
,Namibia,2024,12,12,7880230.182150843,1.426887645243129E8,1.0800841239504658E10,7.880230182150846E9,GMIE-100
,Angola,2024,12,12,3.803375975499198E7,1.027866023641801E9,9.58644313615375E10,3.803375975499198E10,GMIE-100
,Burundi,2024,12,12,8781630.957203817,2.736454105774638E8,2.9051119653497616E10,8.781630957203817E9,GMIE-100
,Rwanda,2024,12,12,3233692.4332519867,1.372989656899724E8,1.4416365911605087E10,3.2336924332519794E9,GMIE-100
,South Africa,2024,12,12,5.646173728226683E8,1.916437770170521E10,1.528634279978494E12,5.646173728226686E11,GMIE-100
,Lesotho,2024,12,12,161103.6980177163,1.9979884596225377E7,1.2529122422276738E9,1.6110369801771632E8,GMIE-100
,Swaziland,2024,12,12,1.8387495357424624E7,7.420721660288088E8,8.029246741045992E10,1.8387495357424595E10,GMIE-100
,Mayotte,2024,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Niger,2024,12,12,3.064359604428436E7,6.81946228160963E8,4.612912263826159E10,3.064359604428435E10,GMIE-100
,Sudan,2024,12,12,9.507867923232577E8,1.860921169227051E10,1.325284712447216E12,9.507867923232574E11,GMIE-100
,Libya,2024,12,12,2.226809312392461E8,2.5820406782713413E10,2.9050167328157214E11,2.2268093123924606E11,GMIE-100
,Koualou Area,2024,12,12,4921.148035209246,144659.97773025418,1.0829835370474715E7,4921148.035209248,GMIE-100
,Tunisia,2024,12,12,4.431144314021519E8,5.206259727524736E10,8.442373340405381E11,4.43114431402152E11,GMIE-100
,Egypt,2024,12,12,4.276586303289473E9,5.55162286463616E10,4.3588957642844146E12,4.2765863032894688E12,GMIE-100
,Bir Tawil,2024,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Halaib Triangle,2024,12,12,878.7811943954719,31314.433539267426,878781.1943954717,878781.1943954717,GMIE-100
,Eritrea,2024,12,12,2.2447611982364915E7,6.089660572387984E8,4.11017915720911E10,2.2447611982364918E10,GMIE-100
,Ethiopia,2024,12,12,5.3239559527194893E8,2.129259578545281E10,2.2592544738341377E12,5.323955952719492E11,GMIE-100
,Djibouti,2024,12,12,32318.333122839573,1986817.6382595683,4.754128864256075E7,3.231833312283957E7,GMIE-100
,Somalia,2024,12,12,2.4974191123325348E7,5.330962445152878E8,4.1354730320993385E10,2.497419112332536E10,GMIE-100
,South Sudan,2024,12,12,2.0598323850512007E8,5.559999815868064E9,5.554243005492285E11,2.0598323850512003E11,GMIE-100
,Abyei Area,2024,12,12,56885.85962857689,1155997.0057414295,1.2353908368268025E8,5.688585962857689E7,GMIE-100
,Kenya,2024,12,12,1.3027521035696234E8,1.148432631183015E10,1.2824912165015984E12,1.3027521035696225E11,GMIE-100
,Uganda,2024,12,12,5.229490781752598E7,4.583029329644393E9,5.610753748425258E11,5.229490781752598E10,GMIE-100
,Tanzania,2024,12,12,2.7109192066944313E8,9.877567313915802E9,9.52411702724293E11,2.7109192066944318E11,GMIE-100
,Mozambique,2024,12,12,5.801878878920434E7,2.6557052811914945E9,2.3113737395551294E11,5.801878878920431E10,GMIE-100
,Comoros,2024,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Madagascar,2024,12,12,2.8323656233302695E8,9.958240427013187E9,7.372845523186025E11,2.832365623330271E11,GMIE-100
,Cabo Verde,2024,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Western Sahara,2024,12,12,568868.1259502723,2.0602866155061874E8,5.975731036111426E8,5.688681259502724E8,GMIE-100
,Mauritania,2024,12,12,1.5925239983590847E7,3.705297215778574E8,1.874441816668092E10,1.592523998359084E10,GMIE-100
