iso3,country_name,year,n_months_aeti,n_months_pcp,VETb_m3,irr_area_m2,AETI_wsum,ETb_wsum,landuse_source
,Chad,2021,12,12,2.115757771617794E8,4.807712974445039E9,3.6797239242423004E11,2.1157577716177908E11,GMIE-100
,Malawi,2021,12,12,4.8162563621249296E7,1.6057098024849937E9,1.4235525321851474E11,4.816256362124933E10,GMIE-100
,Zambia,2021,12,12,1.7404061413822323E8,3.592339845032355E9,3.592124442926942E11,1.7404061413822333E11,GMIE-100
,Zimbabwe,2021,12,12,9.828154133788185E7,2.361795989565774E9,2.070821136515733E11,9.828154133788188E10,GMIE-100
,Botswana,2021,12,12,3540010.6130031766,8.377248422590378E7,5.869627909271696E9,3.540010613003176E9,GMIE-100
,Namibia,2021,12,12,9634382.332557835,1.4268876452431294E8,1.166037921155815E10,9.634382332557835E9,GMIE-100
,Angola,2021,12,12,3.466087189590903E7,1.0278660236418008E9,8.768339818559612E10,3.466087189590904E10,GMIE-100
,Burundi,2021,12,12,6819657.00534088,2.7364541057746375E8,2.813452443477123E10,6.819657005340876E9,GMIE-100
,Rwanda,2021,12,12,1901450.7277654437,1.372989656899724E8,1.389605144784748E10,1.9014507277654383E9,GMIE-100
,South Africa,2021,12,12,3.757711275019098E8,1.9164377701705208E10,1.4470592713212505E12,3.7577112750190985E11,GMIE-100
,Lesotho,2021,12,12,121196.34667406042,1.997988459622539E7,1.1500330576870713E9,1.2119634667406045E8,GMIE-100
,Swaziland,2021,12,12,2.611457175312873E7,7.420721660288088E8,7.463013589773566E10,2.6114571753128693E10,GMIE-100
,Mayotte,2021,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Niger,2021,12,12,3.535534143446427E7,6.819462281609628E8,4.777731150849058E10,3.5355341434464264E10,GMIE-100
,Sudan,2021,12,12,1.0410292420607821E9,1.8609211692270515E10,1.4543142562779604E12,1.0410292420607823E12,GMIE-100
,Libya,2021,12,12,2.0773512088358453E8,2.5820406782713387E10,2.887374517384008E11,2.0773512088358496E11,GMIE-100
,Koualou Area,2021,12,12,5069.80224252299,144659.97773025418,8983447.350734513,5069802.24252299,GMIE-100
,Tunisia,2021,12,12,4.9537252761341614E8,5.206259727524736E10,7.966432933846373E11,4.9537252761341724E11,GMIE-100
,Egypt,2021,12,12,4.216846680742733E9,5.55162286463616E10,4.410129507610914E12,4.2168466807427417E12,GMIE-100
,Bir Tawil,2021,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Halaib Triangle,2021,12,12,781.741527257494,31314.433539267426,809510.7728139032,781741.5272574939,GMIE-100
,Eritrea,2021,12,12,2.211796089641193E7,6.089660572387985E8,3.860926704723023E10,2.211796089641193E10,GMIE-100
,Ethiopia,2021,12,12,5.919202033490422E8,2.1292595785452812E10,2.139309552292272E12,5.919202033490431E11,GMIE-100
,Djibouti,2021,12,12,35796.595024747716,1986817.6382595683,5.09049721871404E7,3.579659502474772E7,GMIE-100
,Somalia,2021,12,12,2.043535470396943E7,5.3309624451528776E8,3.56742743434289E10,2.0435354703969425E10,GMIE-100
,South Sudan,2021,12,12,2.0767763647495633E8,5.559999815868063E9,5.803120451448212E11,2.0767763647495654E11,GMIE-100
,Abyei Area,2021,12,12,44189.451599795706,1155997.0057414295,1.0812838510198262E8,4.41894515997957E7,GMIE-100
,Kenya,2021,12,12,1.1856922274989022E8,1.148432631183015E10,1.1661739685500674E12,1.1856922274989035E11,GMIE-100
,Uganda,2021,12,12,5.991286529717889E7,4.583029329644393E9,5.1125968321672845E11,5.991286529717899E10,GMIE-100
,Tanzania,2021,12,12,3.0069718106144017E8,9.877567313915798E9,9.187051987285764E11,3.0069718106144055E11,GMIE-100
,Mozambique,2021,12,12,7.080911499861066E7,2.6557052811914954E9,2.1778586480783362E11,7.080911499861069E10,GMIE-100
,Comoros,2021,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Madagascar,2021,12,12,2.6882306553508574E8,9.958240427013184E9,6.981990117815564E11,2.6882306553508588E11,GMIE-100
,Cabo Verde,2021,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Western Sahara,2021,12,12,379710.2698275064,2.0602866155061868E8,4.039277853387772E8,3.7971026982750624E8,GMIE-100
,Mauritania,2021,12,12,1.6180606365297664E7,3.7052972157785743E8,1.9048987812883934E10,1.6180606365297634E10,GMIE-100
,Morocco,2021,12,12,1.1409016374131374E9,4.671925150677696E10,1.9665268649604468E12,1.1409016374131377E12,GMIE-100
,Spain (Canary Is),2021,12,12,560716.0083088009,1.6501903875064343E8,7.564355808498715E8,5.607160083088003E8,GMIE-100
,Portugal (Madeira Is),2021,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Spain (Africa),2021,12,12,181691.4021494289,9861053.901628293,3.2416265363000137E8,1.816914021494287E8,GMIE-100
,Algeria,2021,12,12,7.131601187182202E8,4.216264887678031E10,1.5747401611886948E12,7.131601187182203E11,GMIE-100
,Mali,2021,12,12,3.7016212930497247E8,4.90349006546553E9,4.904636794274362E11,3.701621293049718E11,GMIE-100
,Burkina Faso,2021,12,12,4.313257482160738E7,1.0241077841856626E9,8.527202149833307E10,4.313257482160733E10,GMIE-100
,Togo,2021,12,12,5428042.325240559,2.3523017867213464E8,1.9973778841572258E10,5.4280423252405615E9,GMIE-100
,Ghana,2021,12,12,9924118.752967363,5.666716448786128E8,5.521554457270394E10,9.924118752967365E9,GMIE-100
,Cote d'Ivoire,2021,12,12,3.2572707935266916E7,1.3311685452832766E9,1.409412373207394E11,3.2572707935266922E10,GMIE-100
,Guinea,2021,12,12,9991101.159966873,2.747306793564966E8,2.4247745743301727E10,9.991101159966875E9,GMIE-100
,Senegal,2021,12,12,7.217100378571135E7,1.331447564439111E9,1.0802848865948381E11,7.217100378571149E10,GMIE-100
,"Gambia, The",2021,12,12,2.5336720104873814E7,4.030890439633789E8,4.036609905095368E10,2.5336720104873875E10,GMIE-100
,Guinea-Bissau,2021,12,12,1.654070616986259E7,2.7689994715998036E8,2.5891049820493786E10,1.6540706169862564E10,GMIE-100
,Sierra Leone,2021,12,12,4626309.778122448,1.769895955547636E8,1.4040064472166468E10,4.626309778122449E9,GMIE-100
,Liberia,2021,12,12,90879.66500622877,5514965.832860738,4.289508934563749E8,9.087966500622877E7,GMIE-100
,Benin,2021,12,12,2.546708792767381E7,5.429116450943749E8,5.2986078406010086E10,2.5467087927673817E10,GMIE-100
,Nigeria,2021,12,12,1.0385917143096736E8,2.901741573830044E9,2.5095875250650165E11,1.0385917143096735E11,GMIE-100
,Cameroon,2021,12,12,1.030119140888038E8,1.9637542288030438E9,1.814821963211452E11,1.0301191408880359E11,GMIE-100
,Equatorial Guinea,2021,12,12,7625.76340434604,1172181.481030865,1.0983175612589239E8,7625763.4043460395,GMIE-100
,Sao Tome & Principe,2021,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Gabon,2021,12,12,50844.27720985357,3861051.799365258,3.3762742502583575E8,5.084427720985355E7,GMIE-100
,Rep of the Congo,2021,12,12,1171377.5556156759,1.1297218254789776E8,9.371451159936823E9,1.171377555615675E9,GMIE-100
,Central African Rep,2021,12,12,8995874.832619056,4.0429748898075974E8,5.155246639807296E10,8.995874832619062E9,GMIE-100
,Dem Rep of the Congo,2021,12,12,5.335852835581797E7,2.5222957604976807E9,2.7594607096115436E11,5.335852835581799E10,GMIE-100
,Hong Kong,2021,12,12,177174.34877004882,1.603439457181936E7,1.2094671601175678E9,1.7717434877004915E8,GMIE-100
,Macau,2021,12,12,11.070574448688484,3817.439465064994,116813.64763098884,11070.574448688483,GMIE-100
,Taiwan,2021,12,12,6.129155529194079E7,4.416079823739265E9,2.4426411932875302E11,6.129155529194103E10,GMIE-100
,Senkakus,2021,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Japan,2021,12,12,1938436.3210940561,1.5633061025784552E10,6.768005739742815E11,1.9384363210940557E9,GMIE-100
,"Korea, South",2021,12,12,4102418.014376627,6.962981092275054E9,3.8050005544464056E11,4.102418014376623E9,GMIE-100
,"Korea, North",2021,12,12,7565635.596659688,1.3597587715471504E10,6.227501247216671E11,7.565635596659693E9,GMIE-100
,Korean Is. (UN Jurisdiction),2021,12,12,0.0,0.0,0.0,0.0,GMIE-100
,China,2021,12,12,2.46663940420856E9,2.903164856416443E11,1.3928586076748582E13,2.466639404208553E12,GMIE-100
,China,2021,12,12,4.276050990704925E9,1.242643359437998E11,5.446921920473584E12,4.2760509907049224E12,GMIE-100
,China,2021,12,12,9.652184027652453E8,8.782979732456564E10,5.534362872973622E12,9.652184027652458E11,GMIE-100
