iso3,country_name,year,n_months_aeti,n_months_pcp,VETb_m3,irr_area_m2,AETI_wsum,ETb_wsum,landuse_source
,Chad,2025,12,12,2.1794954463415504E8,4.80771297444504E9,3.819812333737182E11,2.1794954463415512E11,GMIE-100
,Malawi,2025,12,12,5.122511932465945E7,1.6057098024849937E9,1.4555110978962384E11,5.1225119324659424E10,GMIE-100
,Zambia,2025,12,12,1.5577412616267478E8,3.592339845032354E9,3.487213354544931E11,1.557741261626747E11,GMIE-100
,Zimbabwe,2025,12,12,9.128631108565821E7,2.3617959895657744E9,2.1745896442910287E11,9.128631108565811E10,GMIE-100
,Botswana,2025,12,12,2750201.915418669,8.377248422590381E7,5.743144144977369E9,2.750201915418669E9,GMIE-100
,Namibia,2025,12,12,7891200.8235204825,1.4268876452431297E8,1.220962698419734E10,7.891200823520475E9,GMIE-100
,Angola,2025,12,12,3.4975683243585825E7,1.0278660236418011E9,9.387233930945392E10,3.497568324358584E10,GMIE-100
,Burundi,2025,12,12,6473797.160221932,2.736454105774638E8,2.988480939548725E10,6.473797160221924E9,GMIE-100
,Rwanda,2025,12,12,1539458.1986723782,1.372989656899724E8,1.4988625317439848E10,1.5394581986723757E9,GMIE-100
,South Africa,2025,12,12,4.509457962122137E8,1.9164377701705208E10,1.494723594674663E12,4.5094579621221387E11,GMIE-100
,Lesotho,2025,12,12,73467.781494346,1.9979884596225385E7,1.2328698208463428E9,7.3467781494346E7,GMIE-100
,Swaziland,2025,12,12,1.8811843481847677E7,7.420721660288088E8,7.672883358749022E10,1.8811843481847645E10,GMIE-100
,Mayotte,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Niger,2025,12,12,3.901152973548979E7,6.81946228160963E8,5.43714865092077E10,3.9011529735489815E10,GMIE-100
,Sudan,2025,12,12,9.92821352946198E8,1.860921169227051E10,1.3207934443620535E12,9.928213529461985E11,GMIE-100
,Libya,2025,12,12,2.1981469463300776E8,2.582040678271338E10,2.950388510786995E11,2.198146946330078E11,GMIE-100
,Koualou Area,2025,12,12,4896.032697276499,144659.97773025418,9174099.166339362,4896032.697276498,GMIE-100
,Tunisia,2025,12,12,4.9575017875301504E8,5.206259727524736E10,9.820610741578793E11,4.957501787530151E11,GMIE-100
,Egypt,2025,12,12,4.3877249490792265E9,5.5516228646361595E10,4.484091528747102E12,4.38772494907924E12,GMIE-100
,Bir Tawil,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Halaib Triangle,2025,12,12,880.5700879888736,31314.433539267426,880570.0879888736,880570.0879888736,GMIE-100
,Eritrea,2025,12,12,2.5791947052725013E7,6.089660572387984E8,4.412866473557899E10,2.5791947052725025E10,GMIE-100
,Ethiopia,2025,12,12,7.17432090885591E8,2.1292595785452812E10,2.2166603789261167E12,7.174320908855912E11,GMIE-100
,Djibouti,2025,12,12,33369.41650997179,1986817.6382595683,4.1610203492942035E7,3.3369416509971786E7,GMIE-100
,Somalia,2025,12,12,1.8793334915514886E7,5.330962445152878E8,3.2077310401680748E10,1.8793334915514893E10,GMIE-100
,South Sudan,2025,12,12,1.933209382271229E8,5.559999815868065E9,5.17961177498422E11,1.9332093822712292E11,GMIE-100
,Abyei Area,2025,12,12,54688.923676224345,1155997.0057414295,1.1105000718263611E8,5.468892367622434E7,GMIE-100
,Kenya,2025,12,12,2.0430528770778254E8,1.1484326311830143E10,1.3193501701432803E12,2.0430528770778244E11,GMIE-100
,Uganda,2025,12,12,7.300568998952955E7,4.583029329644391E9,5.638488297743342E11,7.300568998952957E10,GMIE-100
,Tanzania,2025,12,12,3.259723668559579E8,9.877567313915802E9,9.777325270562858E11,3.2597236685595825E11,GMIE-100
,Mozambique,2025,12,12,6.740464121515337E7,2.655705281191494E9,2.3038043224173303E11,6.740464121515341E10,GMIE-100
,Comoros,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Madagascar,2025,12,12,2.823661731722233E8,9.958240427013186E9,7.660557908574845E11,2.823661731722235E11,GMIE-100
,Cabo Verde,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Western Sahara,2025,12,12,633058.9842176674,2.0602866155061865E8,6.625157333983223E8,6.330589842176677E8,GMIE-100
,Mauritania,2025,12,12,1.7905638676701605E7,3.705297215778574E8,2.1716591832496704E10,1.790563867670161E10,GMIE-100
,Morocco,2025,12,12,9.412259012583126E8,4.6719251506776985E10,1.7271577647460017E12,9.412259012583134E11,GMIE-100
,Spain (Canary Is),2025,12,12,765421.9613694558,1.6501903875064346E8,8.753015744481537E8,7.65421961369457E8,GMIE-100
,Portugal (Madeira Is),2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Spain (Africa),2025,12,12,158516.469954864,9861053.901628293,3.2475142163794994E8,1.5851646995486397E8,GMIE-100
,Algeria,2025,12,12,7.714260259264526E8,4.2162648876780304E10,1.7092298656167913E12,7.714260259264546E11,GMIE-100
,Mali,2025,12,12,3.888131281334648E8,4.90349006546553E9,5.4570859480625354E11,3.888131281334647E11,GMIE-100
,Burkina Faso,2025,12,12,4.593746343499328E7,1.0241077841856625E9,9.3138750411362E10,4.593746343499333E10,GMIE-100
,Togo,2025,12,12,4410421.4716645125,2.3523017867213467E8,2.0831311706321404E10,4.410421471664507E9,GMIE-100
,Ghana,2025,12,12,8601168.675234552,5.66671644878613E8,5.2285048950177956E10,8.601168675234543E9,GMIE-100
,Cote d'Ivoire,2025,12,12,2.2159515073332317E7,1.3311685452832766E9,1.421340542607514E11,2.2159515073332306E10,GMIE-100
,Guinea,2025,12,12,9284933.232614454,2.7473067935649663E8,2.384838808282323E10,9.284933232614456E9,GMIE-100
,Senegal,2025,12,12,6.446312680652936E7,1.331447564439111E9,1.006510969828156E11,6.446312680652934E10,GMIE-100
,"Gambia, The",2025,12,12,2.319179984031998E7,4.0308904396337897E8,3.7955791418211266E10,2.319179984031996E10,GMIE-100
,Guinea-Bissau,2025,12,12,1.4554254445448179E7,2.7689994715998036E8,2.468266573386707E10,1.455425444544817E10,GMIE-100
,Sierra Leone,2025,12,12,5035350.127690691,1.769895955547636E8,1.4523499430729977E10,5.035350127690688E9,GMIE-100
,Liberia,2025,12,12,80361.27301366733,5514965.832860737,4.080596679662368E8,8.036127301366739E7,GMIE-100
,Benin,2025,12,12,2.489797097689767E7,5.429116450943748E8,5.4942848544167625E10,2.4897970976897682E10,GMIE-100
,Nigeria,2025,12,12,1.0641830147537768E8,2.901741573830044E9,2.6125686429867874E11,1.064183014753776E11,GMIE-100
,Cameroon,2025,12,12,1.0931056116652928E8,1.9637542288030436E9,1.917219001503204E11,1.0931056116652905E11,GMIE-100
,Equatorial Guinea,2025,12,12,6507.707589366646,1172181.481030865,1.1132735853085473E8,6507707.589366647,GMIE-100
,Sao Tome & Principe,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Gabon,2025,12,12,52858.827562244755,3861051.7993652583,3.27885460482411E8,5.2858827562244765E7,GMIE-100
,Rep of the Congo,2025,12,12,1267996.2841869048,1.129721825478978E8,8.942301384219193E9,1.2679962841869042E9,GMIE-100
,Central African Rep,2025,12,12,1.193109938106579E7,4.042974889807598E8,5.2233418213618515E10,1.1931099381065792E10,GMIE-100
,Dem Rep of the Congo,2025,12,12,5.844067109524212E7,2.5222957604976807E9,2.8289496731004224E11,5.844067109524213E10,GMIE-100
,Hong Kong,2025,12,12,159522.2491884572,1.603439457181936E7,1.1656648098896437E9,1.5952224918845704E8,GMIE-100
,Macau,2025,12,12,2.0548353811763036,3817.439465064994,87801.10769649487,2054.835381176303,GMIE-100
,Taiwan,2025,12,12,4.644753420918353E7,4.416079823739265E9,2.872580699355077E11,4.6447534209183365E10,GMIE-100
,Senkakus,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Japan,2025,12,12,2094991.1577696218,1.5633061025784546E10,6.909259171654502E11,2.0949911577696261E9,GMIE-100
,"Korea, South",2025,12,12,2619473.4098264603,6.962981092275055E9,3.821187019588E11,2.61947340982646E9,GMIE-100
,"Korea, North",2025,12,12,6109171.300063149,1.3597587715471506E10,6.26721350458907E11,6.109171300063128E9,GMIE-100
,Korean Is. (UN Jurisdiction),2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,China,2025,12,12,2.4452825212597003E9,2.9031648564164435E11,1.5390143973377295E13,2.4452825212597E12,GMIE-100
,China,2025,12,12,4.745799811624102E9,1.2426433594379987E11,5.957898355009077E12,4.7457998116241045E12,GMIE-100
,China,2025,12,12,7.96432321758596E8,8.782979732456567E10,5.34564060207265E12,7.964323217585962E11,GMIE-100
,China,2025,12,12,2.266178443066663E9,6.107673681326123E11,3.581709784600345E13,2.2661784430666626E12,GMIE-100
,Liancourt Rocks,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Russia,2025,12,12,4.853683176452176E8,3.253098374724969E10,1.0019328572662759E12,4.853683176452178E11,GMIE-100
,Ukraine,2025,12,12,1.7109946656710708E8,2.6105339031324165E10,5.853105356716321E11,1.7109946656710706E11,GMIE-100
,Romania,2025,12,12,2.6320055100446142E7,3.077800774972372E9,1.3455165369655638E11,2.6320055100446095E10,GMIE-100
,Moldova,2025,12,12,1.7127904142780248E7,1.5580384247467031E9,5.704586170352664E10,1.7127904142780272E10,GMIE-100
,Russia,2025,12,12,80542.82403318811,2506243.928400651,8.054282403318813E7,8.054282403318813E7,GMIE-100
,Finland,2025,12,12,2.4604884656224373E8,7.848562988439696E9,2.4604884656224362E11,2.4604884656224362E11,GMIE-100
,Norway,2025,12,12,8.029028738481022E7,2.362717727270062E9,8.029028738481027E10,8.029028738481027E10,GMIE-100
,Andorra,2025,12,12,0.0,30357.613544007887,1586370.417236679,0.0,GMIE-100
,Italy,2025,12,12,2.0313510455372936E8,3.415720588337463E10,2.008499532689136E12,2.0313510455372955E11,GMIE-100
,Monaco,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Malta,2025,12,12,2508.8817187268965,274693.3605784732,7878136.1288052285,2508881.7187268957,GMIE-100
,San Marino,2025,12,12,0.0,1509746.336275796,8.808678495576137E7,0.0,GMIE-100
,Vatican City,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Croatia,2025,12,12,2.4670619897927426E7,3.4475603634185658E9,2.1186757002710583E11,2.4670619897927498E10,GMIE-100
,Albania,2025,12,12,3.133456336657757E7,1.5466179145881488E9,1.0562463961631088E11,3.133456336657753E10,GMIE-100
,Bosnia & Herzegovina,2025,12,12,2.0375338079047322E7,2.877353882421728E9,1.795433165968925E11,2.0375338079047295E10,GMIE-100
,Montenegro,2025,12,12,2498764.7830381137,3.0892719988519E8,2.0634435095886368E10,2.4987647830380993E9,GMIE-100
,Serbia,2025,12,12,3.7683576432117306E7,3.3187928690986238E9,1.9957622459046326E11,3.7683576432117256E10,GMIE-100
,Greece,2025,12,12,4.446037568764696E8,1.20091483992316E10,7.718041818914307E11,4.4460375687646954E11,GMIE-100
,Macedonia,2025,12,12,2.1975153159840863E7,8.329500056644709E8,5.121962760495001E10,2.1975153159840893E10,GMIE-100
,Kosovo,2025,12,12,9187940.542298919,8.476500917958604E8,5.552031009652516E10,9.187940542298916E9,GMIE-100
,Bulgaria,2025,12,12,8.052502810170387E7,5.323883994559638E9,2.516419539164215E11,8.052502810170384E10,GMIE-100
,Portugal (Azores),2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Portugal,2025,12,12,1.0976655335901973E8,3.5470154393554163E9,2.2094271719061234E11,1.0976655335901976E11,GMIE-100
,Gibraltar,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Spain,2025,12,12,4.8839234988536924E8,2.617779360622796E10,1.551765992077443E12,4.8839234988536926E11,GMIE-100
,France,2025,12,12,1.1851002228716424E8,1.4660544838139906E10,7.57239597565739E11,1.1851002228716415E11,GMIE-100
,Svalbard,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Sweden,2025,12,12,3.4983986924197006E8,9.670783502730165E9,3.498398692419703E11,3.498398692419703E11,GMIE-100
,Denmark,2025,12,12,1.6627680039532143E8,4.376748265802148E9,1.6627680039532117E11,1.6627680039532117E11,GMIE-100
,Estonia,2025,12,12,1.1748290964779544E8,3.5242509134581084E9,1.1748290964779558E11,1.1748290964779558E11,GMIE-100
,Latvia,2025,12,12,2.6761292737507096E8,7.655246175581392E9,2.6761292737507153E11,2.6761292737507153E11,GMIE-100
,Lithuania,2025,12,12,4.4223214845650303E8,1.1610428491495804E10,4.4223214845650305E11,4.4223214845650305E11,GMIE-100
,Belarus,2025,12,12,9.283272941808847E7,2.2994981346136236E9,9.283272941808852E10,9.283272941808852E10,GMIE-100
,Poland,2025,12,12,2.6614417375354347E8,6.485750527271026E9,2.7430042726064066E11,2.6614417375354343E11,GMIE-100
,Germany,2025,12,12,4.515912412809595E8,1.540167108539309E10,7.085377516587554E11,4.5159124128096E11,GMIE-100
,Czechia,2025,12,12,1.1100255529305874E8,8.292324904714938E9,3.905312070573249E11,1.1100255529305875E11,GMIE-100
,Slovakia,2025,12,12,5110092.3403166225,4.0988444722173376E9,2.0708068901738345E11,5.110092340316624E9,GMIE-100
,Hungary,2025,12,12,2.980039202555392E7,2.0762843096192904E9,1.0599816407086725E11,2.980039202555391E10,GMIE-100
,Slovenia,2025,12,12,185553.86520753178,1.087042383665516E9,6.027167666571164E10,1.8555386520753175E8,GMIE-100
,Austria,2025,12,12,682820.3098702286,4.410527401581989E9,2.2411480940937625E11,6.828203098702288E8,GMIE-100
,Dragonja River Mouth,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Switzerland,2025,12,12,6268.582674740304,2.187715214635559E9,1.0895935442047676E11,6268582.674740307,GMIE-100
,Liechtenstein,2025,12,12,0.0,2.18175102126562E7,1.0944548443454745E9,0.0,GMIE-100
,Luxembourg,2025,12,12,344843.22292793775,5.2857218696496E7,2.53072936915138E9,3.448432229279378E8,GMIE-100
,Netherlands,2025,12,12,7.960663880877745E7,1.8989781156546211E9,7.96066388087775E10,7.96066388087775E10,GMIE-100
,Belgium,2025,12,12,4.966369309123309E7,1.1029304288897955E9,5.042403362372976E10,4.9663693091233055E10,GMIE-100
,United Kingdom,2025,12,12,4.278315178207697E7,1.0725977479607295E9,4.2783305861763794E10,4.278315178207693E10,GMIE-100
,Jersey,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Guernsey,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Ireland,2025,12,12,1.979493735212412E7,4.724108182327945E8,1.9794937352124104E10,1.9794937352124104E10,GMIE-100
,Isle of Man,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Faroe Is,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Iceland,2025,12,12,387682.82858958514,2.186790727586973E7,3.87682828589585E8,3.87682828589585E8,GMIE-100
,Jan Mayen,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Russia,2025,12,12,8.348644978636326E8,2.920890563855179E10,8.349875035312269E11,8.348644978636326E11,GMIE-100
,Russia,2025,12,12,800.8653027937839,24490.323234173273,800865.302793784,800865.302793784,GMIE-100
,Mongolia,2025,12,12,1527210.469817785,9.916286661895931E8,1.2840552407261942E10,1.5272104698177848E9,GMIE-100
,Russia,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Russia,2025,12,12,8.451018985911678E7,9.873983185520092E9,4.044828565567484E11,8.45101898591169E10,GMIE-100
,Maldives,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Bhutan,2025,12,12,1196430.8748357976,7.97864293037233E7,4.722951016430838E9,1.1964308748357944E9,GMIE-100
,Aksai Chin,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Afghanistan,2025,12,12,8.220127393526354E8,3.0651249446591896E10,9.895874538007249E11,8.220127393526356E11,GMIE-100
,Pakistan,2025,12,12,8.89710679681626E9,1.879325087649566E11,1.371933478745138E13,8.897106796816256E12,GMIE-100
,Siachen-Saltoro Area,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Demchok Area,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,IN-CH Small Disputed Areas,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Nepal,2025,12,12,4.6602151374484E8,1.8724295813174805E10,1.6317722064810486E12,4.6602151374484033E11,GMIE-100
,Kalapani Area,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Dramana-Shakatoe Area,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Sri Lanka,2025,12,12,1.4592925608462483E8,1.488258585705812E10,1.3512001988530986E12,1.45929256084625E11,GMIE-100
,India,2025,12,12,3.538499026321577E10,9.121959054242979E11,7.350987477879627E13,3.538499026321574E13,GMIE-100
,Bangladesh,2025,12,12,1.2242332670905883E9,5.029613172097011E10,4.936817907608749E12,1.2242332670905874E12,GMIE-100
,Pitcairn Is,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Palau,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Nauru,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Tuvalu,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Tokelau,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,US Minor Pacific Is. Refuges,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Cook Is,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,American Samoa,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Tonga,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Niue,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Samoa,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Wallis & Futuna,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,French Polynesia,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,United States (Hawaii),2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Northern Mariana Is,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Marshall Is,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Wake I,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Kiribati,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Fed States of Micronesia,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Guam,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Papua New Guinea,2025,12,12,212692.10236403748,3.843248770003304E8,4.262172188314993E10,2.1269210236403757E8,GMIE-100
,Solomon Is,2025,12,12,8347.234403467322,7.824227173055305E7,1.0740171180871267E10,8347234.403467323,GMIE-100
,New Caledonia,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Norfolk I,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,New Zealand,2025,12,12,530459.7123819486,7.968720429080576E8,4.772537957732173E10,5.304597123819489E8,GMIE-100
,Fiji,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Vanuatu,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Indonesia,2025,12,12,1.189367574499439E7,2.6388299288404514E10,2.7022568317056997E12,1.1893675744994404E10,GMIE-100
,Paracel Is,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Singapore,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Brunei,2025,12,12,11717.295535336785,2.581779697677185E8,2.8851774300344234E10,1.1717295535336787E7,GMIE-100
,Philippines,2025,12,12,5.778221260728281E7,1.4949458064624594E10,1.4162901933313367E12,5.7782212607283005E10,GMIE-100
,Spratly Is,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Timor-Leste,2025,12,12,850441.5626382295,3.761230052375927E7,3.9127835859379034E9,8.504415626382298E8,GMIE-100
,Ashmore & Cartier Is,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Malaysia,2025,12,12,61054.07981966962,7.113811065903171E9,7.888135011866119E11,6.105407981966962E7,GMIE-100
,Thailand,2025,12,12,1.5039485561083133E9,6.345284694834264E10,5.873912282572747E12,1.503948556108311E12,GMIE-100
,Burma,2025,12,12,1.0281452164909906E9,3.547921764542335E10,2.8769238071221025E12,1.0281452164909908E12,GMIE-100
,Laos,2025,12,12,5.254703547779998E7,2.349174814568613E9,2.0578643310200476E11,5.2547035477799866E10,GMIE-100
,Cambodia,2025,12,12,1.6681812162066725E8,7.05027188849071E9,6.748284654709514E11,1.6681812162066678E11,GMIE-100
,Vietnam,2025,12,12,4.5945340774330425E8,3.0474981444020515E10,2.6058462918529644E12,4.594534077433033E11,GMIE-100
,Oman,2025,12,12,5.118905869242846E7,2.2090546659844265E9,5.334167894140536E10,5.118905869242847E10,GMIE-100
,United Arab Emirates,2025,12,12,3.374478435367925E7,3.2185725096821313E9,3.591450462806666E10,3.3744784353679226E10,GMIE-100
,Qatar,2025,12,12,4350533.341810416,3.445156478669566E8,5.160071950358043E9,4.350533341810424E9,GMIE-100
,Bahrain,2025,12,12,661870.7005497663,7.078173272307849E7,7.296708661226281E8,6.618707005497656E8,GMIE-100
,Iran,2025,12,12,2.930828620878808E9,9.736888125433804E10,3.954014230490368E12,2.930828620878814E12,GMIE-100
,Kuwait,2025,12,12,9013517.447107501,5.462790833993443E8,1.0879404882953558E10,9.013517447107506E9,GMIE-100
,Azerbaijan,2025,12,12,6.328757357177697E8,2.5299116802587574E10,1.3273703288708596E12,6.32875735717769E11,GMIE-100
,Armenia,2025,12,12,5033424.820407309,7.59264094820157E8,3.599124202494919E10,5.033424820407321E9,GMIE-100
,Georgia,2025,12,12,2126668.5705657043,2.7940488558570786E9,1.4480535292152112E11,2.1266685705657032E9,GMIE-100
,Sinafir & Tiran Is.,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Turkey,2025,12,12,1.6993531562965903E9,5.07789121457103E10,2.9519685182828037E12,1.6993531562965889E12,GMIE-100
,Cyprus,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Dhekelia,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Akrotiri,2025,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Gaza Strip,2025,12,12,853231.1253652993,5.487474899498959E7,1.272495763957792E9,8.532311253652992E8,GMIE-100
,Israel,2025,12,12,1.2977980854760368E8,3.85773975586899E9,1.9274868206783438E11,1.2977980854760374E11,GMIE-100
,Jordan,2025,12,12,6.429603743776551E7,2.1349471463507402E9,8.137048722085706E10,6.4296037437765564E10,GMIE-100
,Saudi Arabia,2025,12,12,7.877947204125004E8,3.7371905012951836E10,9.943539036297596E11,7.877947204125006E11,GMIE-100
