iso3,country_name,year,n_months_aeti,n_months_pcp,VETb_m3,irr_area_m2,AETI_wsum,ETb_wsum,landuse_source
,Chad,2019,12,12,1.8396202368627906E8,4.807712974445037E9,3.525102762190965E11,1.839620236862789E11,GMIE-100
,Malawi,2019,12,12,5.194934168054899E7,1.6057098024849937E9,1.4247962145490814E11,5.194934168054902E10,GMIE-100
,Zambia,2019,12,12,1.6937237688351536E8,3.592339845032355E9,3.6359908949504816E11,1.693723768835153E11,GMIE-100
,Zimbabwe,2019,12,12,9.93149586066736E7,2.361795989565775E9,2.1525305799173874E11,9.931495860667381E10,GMIE-100
,Botswana,2019,12,12,2388924.94899978,8.377248422590378E7,4.532785160761581E9,2.38892494899978E9,GMIE-100
,Namibia,2019,12,12,9873214.547624085,1.426887645243129E8,1.1842273686119715E10,9.873214547624086E9,GMIE-100
,Angola,2019,12,12,3.515599561854978E7,1.0278660236418011E9,9.208841783185385E10,3.515599561854976E10,GMIE-100
,Burundi,2019,12,12,6304875.263406745,2.7364541057746375E8,2.6876791554854652E10,6.304875263406746E9,GMIE-100
,Rwanda,2019,12,12,1731107.8234555817,1.372989656899724E8,1.3499277885995918E10,1.731107823455581E9,GMIE-100
,South Africa,2019,12,12,5.408359344816588E8,1.91643777017053E10,1.453668529238104E12,5.40835934481659E11,GMIE-100
,Lesotho,2019,12,12,323639.1462393677,1.997988459622538E7,1.0867615907663713E9,3.236391462393677E8,GMIE-100
,Swaziland,2019,12,12,2.0657647268007845E7,7.420721660288088E8,7.717265194113766E10,2.065764726800787E10,GMIE-100
,Mayotte,2019,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Niger,2019,12,12,3.0288289775758956E7,6.81946228160963E8,4.456362055129779E10,3.028828977575894E10,GMIE-100
,Sudan,2019,12,12,9.760233906503463E8,1.860921169227051E10,1.3265031189638887E12,9.760233906503469E11,GMIE-100
,Libya,2019,12,12,2.313254047927615E8,2.5820406782713394E10,3.402697717618442E11,2.3132540479276126E11,GMIE-100
,Koualou Area,2019,12,12,4699.256763714565,144659.97773025418,9529705.9420614,4699256.763714566,GMIE-100
,Tunisia,2019,12,12,3.27418054858249E8,5.206259727524736E10,9.015248607722352E11,3.2741805485824927E11,GMIE-100
,Egypt,2019,12,12,4.323906150641348E9,5.551622864636161E10,4.42949221158198E12,4.323906150641357E12,GMIE-100
,Bir Tawil,2019,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Halaib Triangle,2019,12,12,828.336202282267,31314.433539267426,828336.2022822669,828336.2022822669,GMIE-100
,Eritrea,2019,12,12,1.6854418450193185E7,6.089660572387983E8,3.51727734225852E10,1.6854418450193176E10,GMIE-100
,Ethiopia,2019,12,12,5.1112270151921415E8,2.1292595785452812E10,2.0407244209644805E12,5.1112270151921497E11,GMIE-100
,Djibouti,2019,12,12,22914.753580407276,1986817.6382595683,3.3524281721427437E7,2.291475358040727E7,GMIE-100
,Somalia,2019,12,12,2.112465915220703E7,5.330962445152877E8,3.707911621932964E10,2.1124659152207005E10,GMIE-100
,South Sudan,2019,12,12,1.3331895168776348E8,5.559999815868066E9,4.3344793370212524E11,1.3331895168776352E11,GMIE-100
,Abyei Area,2019,12,12,42778.764162073996,1155997.0057414295,9.352494160764715E7,4.2778764162074E7,GMIE-100
