iso3,country_name_standard,dashboard_name,wb_name,wb_region,wb_income,aquastat_name,faostat_code,geojson_name,gee_boundary_name,include_flag,source,notes
KWT,Kuwait,Kuwait,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,YES,wb_only,
LAO,Lao PDR,Lao PDR,Lao PDR,East Asia & Pacific,Lower middle income,,,,,YES,wb_only,
LBN,Lebanon,Lebanon,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,,,,YES,wb_only,
LBR,Liberia,Liberia,Liberia,Sub-Saharan Africa ,Low income,,,,,YES,wb_only,
LBY,Libya,Libya,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,,,,,YES,wb_only,
LCA,St. Lucia,St. Lucia,St. Lucia,Latin America & Caribbean ,Upper middle income,,,,,YES,wb_only,
LIE,Liechtenstein,Liechtenstein,Liechtenstein,Europe & Central Asia,High income,,,,,YES,wb_only,
LKA,Sri Lanka,Sri Lanka,Sri Lanka,South Asia,Lower middle income,,,,,YES,wb_only,
LSO,Lesotho,Lesotho,Lesotho,Sub-Saharan Africa ,Lower middle income,,,,,YES,wb_only,
LTU,Lithuania,Lithuania,Lithuania,Europe & Central Asia,High income,,,,,YES,wb_only,
LUX,Luxembourg,Luxembourg,Luxembourg,Europe & Central Asia,High income,,,,,YES,wb_only,
LVA,Latvia,Latvia,Latvia,Europe & Central Asia,High income,,,,,YES,wb_only,
MAC,"Macao SAR, China","Macao SAR, China","Macao SAR, China",East Asia & Pacific,High income,,,,,YES,wb_only,
MAF,St. Martin (French part),St. Martin (French part),St. Martin (French part),Latin America & Caribbean ,High income,,,,,YES,wb_only,
MAR,Morocco,Morocco,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,,,,YES,wb_only,
MCO,Monaco,Monaco,Monaco,Europe & Central Asia,High income,,,,,YES,wb_only,
MDA,Moldova,Moldova,Moldova,Europe & Central Asia,Upper middle income,,,,,YES,wb_only,
MDG,Madagascar,Madagascar,Madagascar,Sub-Saharan Africa ,Low income,,,,,YES,wb_only,
MDV,Maldives,Maldives,Maldives,South Asia,Upper middle income,,,,,YES,wb_only,
MEX,Mexico,Mexico,Mexico,Latin America & Caribbean ,Upper middle income,,,,,YES,wb_only,
MHL,Marshall Islands,Marshall Islands,Marshall Islands,East Asia & Pacific,Upper middle income,,,,,YES,wb_only,
MKD,North Macedonia,North Macedonia,North Macedonia,Europe & Central Asia,Upper middle income,,,,,YES,wb_only,
MLI,Mali,Mali,Mali,Sub-Saharan Africa ,Low income,,,,,YES,wb_only,
MLT,Malta,Malta,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,YES,wb_only,
MMR,Myanmar,Myanmar,Myanmar,East Asia & Pacific,Lower middle income,,,,,YES,wb_only,
MNE,Montenegro,Montenegro,Montenegro,Europe & Central Asia,Upper middle income,,,,,YES,wb_only,
MNG,Mongolia,Mongolia,Mongolia,East Asia & Pacific,Upper middle income,,,,,YES,wb_only,
MNP,Northern Mariana Islands,Northern Mariana Islands,Northern Mariana Islands,East Asia & Pacific,High income,,,,,YES,wb_only,
MOZ,Mozambique,Mozambique,Mozambique,Sub-Saharan Africa ,Low income,,,,,YES,wb_only,
MRT,Mauritania,Mauritania,Mauritania,Sub-Saharan Africa ,Lower middle income,,,,,YES,wb_only,
MUS,Mauritius,Mauritius,Mauritius,Sub-Saharan Africa ,Upper middle income,,,,,YES,wb_only,
MWI,Malawi,Malawi,Malawi,Sub-Saharan Africa ,Low income,,,,,YES,wb_only,
MYS,Malaysia,Malaysia,Malaysia,East Asia & Pacific,Upper middle income,,,,,YES,wb_only,
NAM,Namibia,Namibia,Namibia,Sub-Saharan Africa ,Lower middle income,,,,,YES,wb_only,
NCL,New Caledonia,New Caledonia,New Caledonia,East Asia & Pacific,High income,,,,,YES,wb_only,
NER,Niger,Niger,Niger,Sub-Saharan Africa ,Low income,,,,,YES,wb_only,
NGA,Nigeria,Nigeria,Nigeria,Sub-Saharan Africa ,Lower middle income,,,,,YES,wb_only,
NIC,Nicaragua,Nicaragua,Nicaragua,Latin America & Caribbean ,Lower middle income,,,,,YES,wb_only,
NLD,Netherlands,Netherlands,Netherlands,Europe & Central Asia,High income,,,,,YES,wb_only,
NOR,Norway,Norway,Norway,Europe & Central Asia,High income,,,,,YES,wb_only,
NPL,Nepal,Nepal,Nepal,South Asia,Lower middle income,,,,,YES,wb_only,
NRU,Nauru,Nauru,Nauru,East Asia & Pacific,High income,,,,,YES,wb_only,
NZL,New Zealand,New Zealand,New Zealand,East Asia & Pacific,High income,,,,,YES,wb_only,
OMN,Oman,Oman,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,YES,wb_only,
PAK,Pakistan,Pakistan,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,,,,YES,wb_only,
PAN,Panama,Panama,Panama,Latin America & Caribbean ,High income,,,,,YES,wb_only,
PER,Peru,Peru,Peru,Latin America & Caribbean ,Upper middle income,,,,,YES,wb_only,
PHL,Philippines,Philippines,Philippines,East Asia & Pacific,Lower middle income,,,,,YES,wb_only,
PLW,Palau,Palau,Palau,East Asia & Pacific,High income,,,,,YES,wb_only,
PNG,Papua New Guinea,Papua New Guinea,Papua New Guinea,East Asia & Pacific,Lower middle income,,,,,YES,wb_only,
POL,Poland,Poland,Poland,Europe & Central Asia,High income,,,,,YES,wb_only,
PRI,Puerto Rico (US),Puerto Rico (US),Puerto Rico (US),Latin America & Caribbean ,High income,,,,,YES,wb_only,
PRK,"Korea, Dem. People's Rep.","Korea, Dem. People's Rep.","Korea, Dem. People's Rep.",East Asia & Pacific,Low income,,,,,REVIEW,wb_only,North Korea — World Bank data absent
PRT,Portugal,Portugal,Portugal,Europe & Central Asia,High income,,,,,YES,wb_only,
PRY,Paraguay,Paraguay,Paraguay,Latin America & Caribbean ,Upper middle income,,,,,YES,wb_only,
PSE,West Bank and Gaza,West Bank and Gaza,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,,,,REVIEW,wb_only,Palestine / West Bank and Gaza — incomplete World Bank data
PYF,French Polynesia,French Polynesia,French Polynesia,East Asia & Pacific,High income,,,,,YES,wb_only,
QAT,Qatar,Qatar,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,YES,wb_only,
ROU,Romania,Romania,Romania,Europe & Central Asia,High income,,,,,YES,wb_only,
RUS,Russian Federation,Russian Federation,Russian Federation,Europe & Central Asia,High income,,,,,YES,wb_only,
RWA,Rwanda,Rwanda,Rwanda,Sub-Saharan Africa ,Low income,,,,,YES,wb_only,
